"","country_code","month","active_editors","active_editors_ns0"
"435","FO","2021-03","1 - 10","1 - 10"
"436","FO","2021-04","1 - 10","1 - 10"
"437","FO","2021-05","1 - 10","1 - 10"
"438","FO","2021-06","1 - 10","0"
"439","FR","2020-09","> 100","> 100"
"440","FR","2020-10","> 100","> 100"
"441","FR","2020-11","> 100","> 100"
"442","FR","2020-12","> 100","> 100"
"443","FR","2021-01","> 100","> 100"
"444","FR","2021-02","> 100","> 100"
"445","FR","2021-03","> 100","> 100"
"446","FR","2021-04","> 100","> 100"
"447","FR","2021-05","> 100","> 100"
"448","FR","2021-06","> 100","> 100"
"449","FR","2021-07","> 100","> 100"
"450","FR","2021-08","> 100","> 100"
"451","GB","2020-09","> 100","> 100"
"452","GB","2020-10","> 100","> 100"
"453","GB","2020-11","> 100","> 100"
"454","GB","2020-12","> 100","> 100"
"455","GB","2021-01","> 100","> 100"
"456","GB","2021-02","> 100","> 100"
"457","GB","2021-03","> 100","> 100"
"458","GB","2021-04","> 100","> 100"
"459","GB","2021-05","> 100","> 100"
"460","GB","2021-06","> 100","> 100"
"461","GB","2021-07","> 100","> 100"
"462","GB","2021-08","> 100","> 100"
"463","GE","2020-09","31 - 40","31 - 40"
"464","GE","2020-10","31 - 40","31 - 40"
"465","GE","2020-11","31 - 40","31 - 40"
"466","GE","2020-12","41 - 50","41 - 50"
"467","GE","2021-01","31 - 40","31 - 40"
"468","GE","2021-02","41 - 50","41 - 50"
"469","GE","2021-03","41 - 50","41 - 50"
"470","GE","2021-04","31 - 40","31 - 40"
"471","GE","2021-05","31 - 40","31 - 40"
"472","GE","2021-06","31 - 40","31 - 40"
"473","GE","2021-07","41 - 50","41 - 50"
"474","GE","2021-08","31 - 40","31 - 40"
"475","GF","2020-09","1 - 10","1 - 10"
"476","GF","2020-12","1 - 10","1 - 10"
"477","GH","2020-09","31 - 40","31 - 40"
"478","GH","2020-10","31 - 40","31 - 40"
"479","GH","2020-11","11 - 20","11 - 20"
"480","GH","2020-12","11 - 20","11 - 20"
"481","GH","2021-01","31 - 40","21 - 30"
"482","GH","2021-02","31 - 40","31 - 40"
"483","GH","2021-03","41 - 50","31 - 40"
"484","GH","2021-04","31 - 40","11 - 20"
"485","GH","2021-05","41 - 50","41 - 50"
"486","GH","2021-06","31 - 40","21 - 30"
"487","GH","2021-07","31 - 40","31 - 40"
"488","GH","2021-08","21 - 30","11 - 20"
"489","GI","2020-09","1 - 10","1 - 10"
"490","GI","2020-10","1 - 10","1 - 10"
"491","GI","2020-11","1 - 10","1 - 10"
"492","GI","2020-12","1 - 10","1 - 10"
"493","GI","2021-01","1 - 10","1 - 10"
"494","GI","2021-02","1 - 10","1 - 10"
"495","GI","2021-03","1 - 10","1 - 10"
"496","GI","2021-04","1 - 10","1 - 10"
"497","GL","2020-11","1 - 10","1 - 10"
"498","GL","2020-12","1 - 10","1 - 10"
"499","GL","2021-01","1 - 10","1 - 10"
"500","GL","2021-02","1 - 10","1 - 10"
"501","GL","2021-03","1 - 10","1 - 10"
